ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
324238500,cian.ru,Соколиная Гора,75,15.0,1811.0,72,201.28571428571428,418,1469,657,1506,3,0,0,1,0,0,3,0,2,0,2,2,2,0,0,3,2,1,1,0,0,0,2,0,6,2,0,354400,236,51.0,7376.0,72,413.9310344827586,418,1469,657,1506,9,2,7,18,1,1,11,0,10,13,4,7,5,0,0,5,21,7,5,0,0,1,11,11,19,6,2
321885770,cian.ru,Чертаново Южное,36,12.0,2617.0,,,2394,160,1437,282,2,0,0,2,0,0,3,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,291700,94,36.0,7000.0,390,504.25,2394,160,1437,282,5,1,8,8,1,0,7,0,14,5,5,3,0,0,1,0,10,3,1,2,0,0,2,7,3,2,0
321357125,cian.ru,Тропарево-Никулино,14,6.0,2926.0,,,3116,5032,6038,3737,3,2,2,2,0,2,1,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,399700,74,23.0,7368.0,397,398.0,3116,5032,6038,3737,32,9,13,22,0,2,9,1,8,1,7,0,1,0,1,1,17,5,8,6,2,4,4,4,22,2,0
325089070,cian.ru,Преображенское,122,13.0,1019.0,8,183.59259259259258,264,23137,593,21069,1,3,0,4,0,2,2,0,10,2,1,0,0,0,0,4,5,2,3,0,0,0,1,6,4,2,1,331700,411,41.0,3020.0,8,367.1630434782609,264,23137,593,21069,13,5,5,22,0,4,4,0,17,2,8,0,0,1,0,21,12,6,4,2,0,0,13,14,10,4,1
324070060,cian.ru,Теплый Стан,22,11.0,1906.0,0,0.0,370,12038,1590,5384,1,0,2,2,0,2,1,0,1,0,1,2,0,0,0,1,4,0,2,2,0,0,1,4,4,2,0,312900,79,32.0,6965.0,0,269.3333333333333,370,12038,1590,5384,2,2,9,8,1,5,4,0,6,1,5,6,0,0,1,1,21,2,4,3,0,0,6,7,9,5,0
322721506,cian.ru,Раменки,10,2.0,406.0,34,34.0,0,2551,609,1514,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,483300,27,7.0,1553.0,34,34.0,0,2551,609,1514,1,0,4,4,0,3,2,0,3,0,0,0,0,0,0,2,6,1,2,2,1,0,7,5,2,0,0
321617069,cian.ru,Теплый Стан,22,11.0,1906.0,0,0.0,370,12038,1590,5384,1,0,2,2,0,2,1,0,1,0,1,2,0,0,0,1,4,0,2,2,0,0,1,4,4,2,0,312900,79,32.0,6965.0,0,269.3333333333333,370,12038,1590,5384,2,2,9,8,1,5,4,0,6,1,5,6,0,0,1,1,21,2,4,3,0,0,6,7,9,5,0
324749568,cian.ru,Лефортово,18,8.0,2896.0,192,242.5,718,547,2339,243,0,0,1,3,0,1,3,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,5,7,0,0,279300,133,35.0,6152.0,192,400.1923076923077,718,547,2339,243,6,3,10,17,1,5,5,0,8,12,0,4,0,0,0,7,11,1,3,2,0,0,11,11,15,5,0
322640033,cian.ru,Теплый Стан,22,11.0,1906.0,0,0.0,370,12038,1590,5384,1,0,2,2,0,2,1,0,1,0,1,2,0,0,0,1,4,0,2,2,0,0,1,4,4,2,0,312900,79,32.0,6965.0,0,269.3333333333333,370,12038,1590,5384,2,2,9,8,1,5,4,0,6,1,5,6,0,0,1,1,21,2,4,3,0,0,6,7,9,5,0
323301546,cian.ru,Теплый Стан,22,11.0,1906.0,0,0.0,370,12038,1590,5384,1,0,2,2,0,2,1,0,1,0,1,2,0,0,0,1,4,0,2,2,0,0,1,4,4,2,0,312900,79,32.0,6965.0,0,269.3333333333333,370,12038,1590,5384,2,2,9,8,1,5,4,0,6,1,5,6,0,0,1,1,21,2,4,3,0,0,6,7,9,5,0
