address,name_ru,avg_rating,rubrics,lat,lon,geocode_status
"Москва, Профсоюзная улица, 129А",Шоколадница,5.0,Кофейня;Кафе,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Эsтет,5.0,Магазин одежды;Магазин галантереи и аксессуаров,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",СараFFан,1.0,Магазин одежды,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Дым&Пар,5.0,Магазин табака и курительных принадлежностей;Вейп-шоп,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Мосигра,5.0,Настольные и интеллектуальные игры;Магазин подарков и сувениров,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Бургер Кинг,1.0,Быстрое питание;Ресторан,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Calzedonia,1.0,Магазин чулок и колготок;Магазин белья и купальников,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Deniz,3.75,Салон красоты;Шугаринг,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Divan.ru,5.0,Мягкая мебель;Магазин мебели;Корпусная мебель,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Familia,5.0,Магазин одежды;Магазин детской одежды;Магазин верхней одежды,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Istudio,5.0,Магазин электроники;Компьютерный магазин;Товары для мобильных телефонов,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Lucky,5.0,Салон красоты;Массажный салон;Ногтевая студия,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",MIUZ diamonds,5.0,Ювелирный магазин;Ломбард;Магазин часов,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Pedant.ru,5.0,Ремонт телефонов;Компьютерный ремонт и услуги;Товары для мобильных телефонов,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Royal,3.0,Гостиница,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Sky Lounge,5.0,Ногтевая студия;Салон бровей и ресниц,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Дефиле,5.0,Магазин белья и купальников;Магазин одежды,55.6182329,37.5071951,success
